area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,parking,price
7420,4,2,3,1,0,0,2,791000
8960,4,4,4,1,0,0,3,919000
9960,3,2,2,1,0,1,2,994000
7500,4,2,2,1,0,1,3,811000
7420,4,1,2,1,1,1,2,801000
7500,3,3,1,1,0,1,2,800000
8580,4,3,4,1,0,0,2,873000
16200,5,3,2,1,0,0,0,1397000
8100,4,1,2,1,1,1,2,853000
5750,3,2,4,1,1,0,1,666000
13200,3,1,2,1,0,1,2,1231000
6000,4,3,2,1,1,1,2,717000
6550,4,2,2,1,0,0,1,711000
3500,4,2,2,1,0,0,2,494000
7800,3,2,2,1,0,0,0,784000
6000,4,1,2,1,0,1,2,692000
6600,4,2,2,1,1,1,1,748000
8500,3,2,4,1,0,0,2,865000
4600,3,2,2,1,1,0,2,583000
6420,3,2,2,1,0,0,1,706000
4320,3,1,2,1,0,1,2,576000
7155,3,2,1,1,1,1,2,782000
8050,3,1,1,1,1,1,1,835000
4560,3,2,2,1,1,1,1,585000
8800,3,2,2,1,0,0,2,873000
6540,4,2,2,1,1,1,2,743000
6000,3,2,4,1,1,1,0,714000
8875,3,1,1,1,0,0,1,861000
7950,5,2,2,1,0,1,2,852000
5500,4,2,2,1,0,1,1,658000
7475,3,2,4,1,0,0,2,806000
7000,3,1,4,1,0,0,2,761000
4880,4,2,2,1,0,0,1,594000
5960,3,3,2,1,1,1,1,695000
6840,5,1,2,1,1,1,1,765000
7000,3,2,4,1,0,0,2,760000
7482,3,2,3,1,0,0,1,793000
9000,4,2,4,1,0,0,2,911000
6000,3,1,4,1,1,0,2,686000
6000,4,2,4,1,0,0,1,683000
6550,3,1,2,1,0,1,0,720000
6360,3,2,4,1,0,0,0,700000
6480,3,2,4,1,0,0,2,732000
6000,4,2,4,1,0,0,2,696000
6000,4,2,4,1,0,0,1,694000
6000,3,2,3,1,0,0,0,662000
6000,3,2,4,1,0,0,1,686000
6600,3,1,4,1,0,0,3,750000
4300,3,2,2,1,0,1,1,563000
7440,3,2,1,1,1,1,0,790000
7440,3,2,4,1,0,0,1,779000
6325,3,1,4,1,0,0,1,707000
6000,4,2,4,1,1,0,1,694000
5150,3,2,4,1,0,0,2,630000
6000,3,2,2,1,1,0,1,673000
6000,3,1,2,1,0,0,1,662000
